8000,6.035056633862745e-20,2.5836162981267653e-20,5.0770526096607185e-20
5000,4.051063378124738e-20,2.0944320521980916e-20,4.13376306635114e-20
4000,3.406658212227314e-20,1.912317052212284e-20,3.7929509644997386e-20
2000,2.0871459164774534e-20,1.648330059647342e-20,2.9855596450999644e-20
1000,1.3620411722092262e-20,1.5500873909041976e-20,2.4683952487145817e-20
800,1.203439425679812e-20,1.53174039768203e-20,2.348862429863647e-20
640,1.069661427181376e-20,1.5177744553312445e-20,2.2466496226697156e-20
500,9.486020425139239e-21,1.5046883247161112e-20,2.1512115659759272e-20
400,8.565861971554529e-21,1.495724763154011e-20,2.0780092469734984e-20
320,7.791882117228322e-21,1.4885914191344062e-20,2.015642637964892e-20
200,6.5397723016193305e-21,1.4778948274181226e-20,1.9131445288892518e-20
160,6.086462423849411e-21,1.4743353759450665e-20,1.8755255612833732e-20
125,5.667483527393904e-21,1.4712243829430934e-20,1.8404966604627154e-20
100,5.351074779216778e-21,1.4690051105882315e-20,1.8138674735979925e-20
