time,"I(R0)","I(R1)","I(R2)","I(LQ|XI227)","I(LQ|XI228)"
1.260000e-11,4.281088e-08,7.088637e-04,2.591370e-08,8.966272e-12,-1.578105e-07
1.280000e-11,4.285558e-08,7.201635e-04,2.594220e-08,7.327766e-12,-1.594443e-07
1.300000e-11,4.291484e-08,7.314632e-04,2.597655e-08,1.276879e-12,-1.616665e-07
1.320000e-11,4.297077e-08,7.427630e-04,2.600409e-08,-8.456489e-12,-1.645059e-07
1.340000e-11,4.300889e-08,7.540628e-04,2.601776e-08,-2.035741e-11,-1.678656e-07
1.360000e-11,4.302396e-08,7.653627e-04,2.601898e-08,-3.237472e-11,-1.715483e-07
1.380000e-11,4.302116e-08,7.766626e-04,2.601565e-08,-4.229051e-11,-1.752999e-07
1.400000e-11,4.301254e-08,7.879624e-04,2.601700e-08,-4.814345e-11,-1.788609e-07
1.420000e-11,4.301113e-08,7.992622e-04,2.602854e-08,-4.862521e-11,-1.820162e-07
1.440000e-11,4.302552e-08,8.105620e-04,2.604970e-08,-4.337205e-11,-1.846327e-07
1.460000e-11,4.305704e-08,8.218618e-04,2.607510e-08,-3.309066e-11,-1.866786e-07
1.480000e-11,4.310033e-08,8.331616e-04,2.609803e-08,-1.948746e-11,-1.882229e-07
1.500000e-11,4.314646e-08,8.444614e-04,2.611420e-08,-5.006808e-12,-1.894150e-07
1.520000e-11,4.318688e-08,8.557612e-04,2.612361e-08,7.579824e-12,-1.904520e-07
1.540000e-11,4.321648e-08,8.670610e-04,2.612988e-08,1.566323e-11,-1.915392e-07
1.560000e-11,4.323499e-08,8.783609e-04,2.613785e-08,1.727718e-11,-1.928512e-07
1.580000e-11,4.324624e-08,8.896606e-04,2.615087e-08,1.148313e-11,-1.945028e-07
1.600000e-11,4.325625e-08,9.009604e-04,2.616931e-08,-1.413179e-12,-1.965314e-07
1.620000e-11,4.327083e-08,9.122602e-04,2.619081e-08,-1.985638e-11,-1.988951e-07
1.640000e-11,4.329365e-08,9.235599e-04,2.621191e-08,-4.125405e-11,-2.014839e-07
1.660000e-11,4.332532e-08,9.348597e-04,2.622997e-08,-6.237554e-11,-2.041423e-07
1.680000e-11,4.336353e-08,9.461595e-04,2.624439e-08,-7.987289e-11,-2.066967e-07
1.700000e-11,4.340415e-08,9.574593e-04,2.625660e-08,-9.083791e-11,-2.089844e-07
1.720000e-11,4.344271e-08,9.687591e-04,2.626903e-08,-9.330277e-11,-2.108777e-07
1.740000e-11,4.347599e-08,9.800588e-04,2.628373e-08,-8.660014e-11,-2.122999e-07
1.760000e-11,4.350297e-08,9.913586e-04,2.630138e-08,-7.152190e-11,-2.132319e-07
1.780000e-11,4.352508e-08,1.002658e-03,2.632119e-08,-5.024791e-11,-2.137087e-07
1.800000e-11,4.354554e-08,1.013958e-03,2.634151e-08,-2.605381e-11,-2.138066e-07
1.820000e-11,4.356817e-08,1.025258e-03,2.636079e-08,-2.841537e-12,-2.136264e-07
1.840000e-11,4.359593e-08,1.036558e-03,2.637835e-08,1.543561e-11,-2.132722e-07
1.860000e-11,4.362997e-08,1.047857e-03,2.639457e-08,2.536591e-11,-2.128332e-07
1.880000e-11,4.366921e-08,1.059157e-03,2.641053e-08,2.460074e-11,-2.123681e-07
1.900000e-11,4.371093e-08,1.070457e-03,2.642737e-08,1.222676e-11,-2.118953e-07
1.920000e-11,4.375181e-08,1.081756e-03,2.644571e-08,-1.106551e-11,-2.113907e-07
1.940000e-11,4.378929e-08,1.093056e-03,2.646542e-08,-4.304065e-11,-2.107900e-07
1.960000e-11,4.382243e-08,1.104356e-03,2.648578e-08,-8.019504e-11,-2.099971e-07
1.980000e-11,4.385221e-08,1.115656e-03,2.650594e-08,-1.182111e-10,-2.088950e-07
2.000000e-11,4.388101e-08,1.126955e-03,2.652531e-08,-1.525240e-10,-2.073580e-07
2.020000e-11,1.173726e-08,1.130159e-03,6.760595e-09,-1.789229e-10,-2.043651e-07
2.040000e-11,-1.889872e-09,1.130336e-03,-1.241053e-09,-1.939347e-10,-1.998078e-07
2.060000e-11,-6.137099e-09,1.130136e-03,-3.680070e-09,-1.951980e-10,-1.934313e-07
2.080000e-11,-7.850937e-09,1.130062e-03,-4.648521e-09,-1.818594e-10,-1.851651e-07
2.100000e-11,-6.463026e-09,1.130046e-03,-3.757230e-09,-1.548912e-10,-1.754919e-07
2.120000e-11,-1.983377e-09,1.130023e-03,-1.107430e-09,-1.171584e-10,-1.655672e-07
2.140000e-11,3.226794e-09,1.129989e-03,1.829979e-09,-7.312256e-11,-1.570814e-07
2.160000e-11,6.284412e-09,1.129963e-03,3.409045e-09,-2.822298e-11,-1.519288e-07
2.180000e-11,5.694690e-09,1.129959e-03,2.913818e-09,1.190030e-11,-1.517825e-07
2.200000e-11,2.069438e-09,1.129977e-03,8.698247e-10,4.217599e-11,-1.576819e-07
2.220000e-11,-2.421629e-09,1.130004e-03,-1.404647e-09,5.876912e-11,-1.697255e-07
2.240000e-11,-5.352337e-09,1.130025e-03,-2.623574e-09,5.960709e-11,-1.869357e-07
2.260000e-11,-5.327720e-09,1.130030e-03,-2.236766e-09,4.471030e-11,-2.073355e-07
2.280000e-11,-2.602098e-09,1.130019e-03,-6.455090e-10,1.624224e-11,-2.282328e-07
2.300000e-11,1.216050e-09,1.129999e-03,1.130262e-09,-2.178302e-11,-2.466489e-07
2.320000e-11,4.121051e-09,1.129983e-03,2.085568e-09,-6.410879e-11,-2.597921e-07
2.340000e-11,4.763824e-09,1.129978e-03,1.780403e-09,-1.050420e-10,-2.654810e-07
2.360000e-11,3.054842e-09,1.129985e-03,5.159092e-10,-1.393088e-10,-2.624648e-07
2.380000e-11,6.707243e-11,1.129999e-03,-9.132735e-10,-1.628358e-10,-2.506282e-07
2.400000e-11,-2.625804e-09,1.130012e-03,-1.706423e-09,-1.733663e-10,-2.310727e-07
2.420000e-11,-3.776905e-09,1.130016e-03,-1.493691e-09,-1.708247e-10,-2.060514e-07
2.440000e-11,-3.030128e-09,1.130012e-03,-4.917848e-10,-1.573444e-10,-1.787306e-07
2.460000e-11,-9.774050e-10,1.130002e-03,6.759920e-10,-1.369043e-10,-1.527795e-07
2.480000e-11,1.251331e-09,1.129992e-03,1.361278e-09,-1.146005e-10,-1.318432e-07
2.500000e-11,2.600779e-09,1.129988e-03,1.244292e-09,-9.566849e-11,-1.189921e-07
2.520000e-11,2.578920e-09,1.129991e-03,4.712995e-10,-8.442961e-11,-1.162457e-07
2.540000e-11,1.404010e-09,1.129998e-03,-4.736829e-10,-8.335104e-11,-1.242479e-07
2.560000e-11,-2.086239e-10,1.130006e-03,-1.064453e-09,-9.239126e-11,-1.421399e-07
2.580000e-11,-1.461262e-09,1.130009e-03,-1.019278e-09,-1.087740e-10,-1.676533e-07
2.600000e-11,-1.858787e-09,1.130008e-03,-4.265156e-10,-1.272797e-10,-1.974163e-07
2.620000e-11,-1.384506e-09,1.130002e-03,3.409882e-10,-1.410596e-10,-2.274297e-07
2.640000e-11,-4.187562e-10,1.129996e-03,8.546948e-10,-1.428766e-10,-2.536369e-07
2.660000e-11,5.142718e-10,1.129993e-03,8.647668e-10,-1.265881e-10,-2.724928e-07
2.680000e-11,1.017766e-09,1.129994e-03,4.143855e-10,-8.863347e-11,-2.814475e-07
2.700000e-11,9.778052e-10,1.129998e-03,-2.136548e-10,-2.927134e-11,-2.792851e-07
2.720000e-11,5.517453e-10,1.130002e-03,-6.714202e-10,4.668118e-11,-2.662844e-07
2.740000e-11,3.011856e-11,1.130005e-03,-7.361122e-10,1.298223e-10,-2.441849e-07
2.760000e-11,-3.333056e-10,1.130005e-03,-4.142140e-10,2.069825e-10,-2.159563e-07
2.780000e-11,-4.324692e-10,1.130002e-03,8.606918e-11,2.628773e-10,-1.853955e-07
2.800000e-11,-3.190457e-10,1.129999e-03,4.854480e-10,2.824221e-10,-1.566010e-07
2.820000e-11,-1.300766e-10,1.129996e-03,5.874185e-10,2.533927e-10,-1.334030e-07
2.840000e-11,9.540597e-12,1.129996e-03,3.720079e-10,1.690334e-10,-1.188361e-07
2.860000e-11,5.162089e-11,1.129998e-03,-1.309155e-11,3.018482e-11,-1.147320e-07
2.880000e-11,2.848210e-11,1.130001e-03,-3.479314e-10,-1.534716e-10,-1.214865e-07
2.900000e-11,7.604941e-12,1.130003e-03,-4.628206e-10,-3.633936e-10,-1.380281e-07
2.920000e-11,3.447263e-11,1.130003e-03,-3.211273e-10,-5.735909e-10,-1.619910e-07
2.940000e-11,1.009637e-10,1.130002e-03,-2.373617e-11,-7.534639e-10,-1.900627e-07
2.960000e-11,1.552435e-10,1.130000e-03,2.584141e-10,-8.718075e-10,-2.184553e-07
2.980000e-11,1.416597e-10,1.129998e-03,3.806291e-10,-9.014827e-10,-2.434287e-07
3.000000e-11,4.227194e-11,1.129998e-03,2.963969e-10,-8.241056e-10,-2.617908e-07
3.020000e-11,-1.064953e-10,1.129999e-03,7.047992e-11,-6.340487e-10,-2.713060e-07
3.040000e-11,-2.314969e-10,1.130000e-03,-1.668735e-10,-3.410801e-10,-2.709641e-07
3.060000e-11,-2.633803e-10,1.130001e-03,-2.941980e-10,2.892918e-11,-2.610800e-07
3.080000e-11,-1.759619e-10,1.130001e-03,-2.600241e-10,4.355977e-10,-2.432148e-07
3.100000e-11,-2.276685e-12,1.130001e-03,-1.010844e-10,8.279960e-10,-2.199342e-07
3.120000e-11,1.809690e-10,1.130000e-03,8.680325e-11,1.150668e-09,-1.944365e-07
3.140000e-11,2.913628e-10,1.129999e-03,2.046722e-10,1.351035e-09,-1.701069e-07
3.160000e-11,2.806855e-10,1.129999e-03,2.013153e-10,1.387218e-09,-1.500610e-07
3.180000e-11,1.565493e-10,1.129999e-03,9.369296e-11,1.235189e-09,-1.367408e-07
3.200000e-11,-2.375354e-11,1.130000e-03,-4.993950e-11,8.941460e-10,-1.316181e-07
3.220000e-11,-1.821929e-10,1.130000e-03,-1.510659e-10,3.891666e-10,-1.350392e-07
3.240000e-11,-2.561098e-10,1.130001e-03,-1.622256e-10,-2.295313e-10,-1.462260e-07
3.260000e-11,-2.240196e-10,1.130001e-03,-8.750558e-11,-8.909881e-10,-1.634262e-07
3.280000e-11,-1.104386e-10,1.130000e-03,2.569102e-11,-1.511290e-09,-1.841859e-07
3.300000e-11,2.990473e-11,1.130000e-03,1.158912e-10,-2.003946e-09,-2.057019e-07
3.320000e-11,1.387399e-10,1.130000e-03,1.403673e-10,-2.291579e-09,-2.252022e-07
3.340000e-11,1.785864e-10,1.130000e-03,9.442918e-11,-2.317401e-09,-2.403035e-07
3.360000e-11,1.446464e-10,1.130000e-03,9.108087e-12,-2.054824e-09,-2.492984e-07
3.380000e-11,6.132129e-11,1.130000e-03,-6.888012e-11,-1.513717e-09,-2.513413e-07
3.400000e-11,-3.238961e-11,1.130000e-03,-1.025237e-10,-7.421569e-10,-2.465129e-07
3.420000e-11,-1.004268e-10,1.130000e-03,-8.176246e-11,1.769681e-10,-2.357617e-07
3.440000e-11,-1.224581e-10,1.130000e-03,-2.495290e-11,1.134443e-09,-2.207369e-07
3.460000e-11,-9.797159e-11,1.130000e-03,3.412938e-11,2.007511e-09,-2.035390e-07
3.480000e-11,-4.226982e-11,1.130000e-03,6.531090e-11,2.675468e-09,-1.864265e-07
3.500000e-11,2.197794e-11,1.130000e-03,5.669961e-11,3.036117e-09,-1.715197e-07
3.520000e-11,7.337111e-11,1.130000e-03,1.821607e-11,3.020840e-09,-1.605405e-07
3.540000e-11,9.772648e-11,1.130000e-03,-2.631465e-11,2.606142e-09,-1.546197e-07
3.560000e-11,9.050067e-11,1.130000e-03,-5.300928e-11,1.819841e-09,-1.541923e-07
3.580000e-11,5.632437e-11,1.130000e-03,-4.996392e-11,7.406896e-10,-1.589877e-07
3.600000e-11,6.727204e-12,1.130000e-03,-2.168879e-11,-5.089400e-10,-1.681102e-07
3.620000e-11,-4.315868e-11,1.130000e-03,1.525550e-11,-1.776745e-09,-1.801916e-07
3.640000e-11,-7.849229e-11,1.130000e-03,4.204632e-11,-2.899047e-09,-1.935922e-07
3.660000e-11,-8.875430e-11,1.130000e-03,4.719002e-11,-3.721950e-09,-2.066207e-07
3.680000e-11,-7.104603e-11,1.130000e-03,3.117071e-11,-4.122354e-09,-2.177438e-07
3.700000e-11,-3.145633e-11,1.130000e-03,4.537953e-12,-4.025982e-09,-2.257609e-07
3.720000e-11,1.646147e-11,1.130000e-03,-1.869107e-11,-3.419795e-09,-2.299241e-07
3.740000e-11,5.609767e-11,1.130000e-03,-2.837723e-11,-2.356853e-09,-2.299949e-07
3.760000e-11,7.375959e-11,1.130000e-03,-2.260977e-11,-9.525506e-10,-2.262338e-07
3.780000e-11,6.392582e-11,1.130000e-03,-7.349443e-12,6.276620e-10,-2.193321e-07
3.800000e-11,3.150389e-11,1.130000e-03,7.760804e-12,2.187824e-09,-2.102964e-07
3.820000e-11,-1.006213e-11,1.130000e-03,1.477065e-11,3.525948e-09,-2.003067e-07
3.840000e-11,-4.420310e-11,1.130000e-03,1.114177e-11,4.460365e-09,-1.905659e-07
3.860000e-11,-5.792544e-11,1.130000e-03,2.158874e-13,4.854458e-09,-1.821598e-07
3.880000e-11,-4.695067e-11,1.130000e-03,-1.131381e-11,4.636426e-09,-1.759433e-07
3.900000e-11,-1.712259e-11,1.130000e-03,-1.722791e-11,3.811213e-09,-1.724637e-07
3.920000e-11,1.842609e-11,1.130000e-03,-1.481781e-11,2.462734e-09,-1.719248e-07
3.940000e-11,4.499456e-11,1.130000e-03,-5.755226e-12,7.457123e-10,-1.741931e-07
3.960000e-11,5.237252e-11,1.130000e-03,5.307147e-12,-1.132117e-09,-1.788397e-07
3.980000e-11,3.867176e-11,1.130000e-03,1.337481e-11,-2.935406e-09,-1.852103e-07
4.000000e-11,1.047999e-11,1.130000e-03,1.551501e-11,-4.431041e-09,-1.925130e-07
4.020000e-11,-2.044255e-11,1.130000e-03,1.189762e-11,-5.418604e-09,-1.999116e-07
4.040000e-11,-4.225885e-11,1.130000e-03,5.190922e-12,-5.757443e-09,-2.066158e-07
4.060000e-11,-4.768183e-11,1.130000e-03,-1.124228e-12,-5.386647e-09,-2.119587e-07
4.080000e-11,-3.630213e-11,1.130000e-03,-4.527753e-12,-4.335100e-09,-2.154545e-07
4.100000e-11,-1.394820e-11,1.130000e-03,-4.452617e-12,-2.720020e-09,-2.168351e-07
4.120000e-11,1.028886e-11,1.130000e-03,-2.155476e-12,-7.338930e-10,-2.160623e-07
