0b0100111101011010,8000,2.176514702244897e-18,1.4477234124375459e-18,1.8927733370010437e-18,1.2984633422420275e-18
0b0100111101011010,4000,1.1241305095234328e-18,7.747168111653921e-19,9.581952135078539e-19,6.672833922228711e-19
0b0100111101011010,2000,6.801632003952114e-19,5.198517445821163e-19,5.563374375310647e-19,4.289338201538052e-19
0b0100111101011010,1000,5.098236041911479e-19,4.481261118653853e-19,4.034505880389366e-19,3.6366282327839576e-19
0b0100111101011010,500,4.430568797926725e-19,4.2629637305270166e-19,3.440263008707621e-19,3.453159438470899e-19
0b0100111101011010,400,4.292655398280087e-19,4.2265824148676053e-19,3.316012140306305e-19,3.423730841168113e-19
0b0100111101011010,320,4.177751480378099e-19,4.198562090977783e-19,3.2118177520024455e-19,3.40134806706576e-19
0b0100111101011010,200,3.9932539392564913e-19,4.155576762210992e-19,3.0432616949511416e-19,3.3668631533786003e-19
0b0100111101011010,100,3.822384734592782e-19,4.1207114108413637e-19,2.8857046262016353e-19,3.339057097992543e-19
0b0010000101110011,8000,2.1855068885631135e-18,1.4142274191471223e-18,1.9018785059779097e-18,1.2644909704777389e-18
0b0010000101110011,4000,1.136807767172101e-18,7.443149229820881e-19,9.708560646497206e-19,6.368829235996222e-19
0b0010000101110011,2000,6.975837449390763e-19,4.847464153061672e-19,5.737354515642342e-19,3.9381988129312275e-19
0b0010000101110011,1000,5.2488659149211e-19,4.146327410110392e-19,4.185031220149347e-19,3.301427237997036e-19
0b0010000101110011,500,4.527122556038227e-19,3.9663822847547104e-19,3.5368221256917033e-19,3.1563433991148167e-19
0b0010000101110011,400,4.377745592663295e-19,3.9386883684790824e-19,3.401009057550097e-19,3.1356197306130087e-19
0b0010000101110011,320,4.2539707893903105e-19,3.917800481400169e-19,3.287991534496758e-19,3.1203791567701323e-19
0b0010000101110011,200,4.055585709302349e-19,3.8854997171624605e-19,3.105487360448986e-19,3.096504397291891e-19
0b0010000101110011,100,3.8720163966849873e-19,3.8600831864064605e-19,2.9352109768947254e-19,3.0782545307090504e-19
0b1100100110001111,8000,2.2301455975905433e-18,1.419133819594596e-18,1.946357456659236e-18,1.2658040081777641e-18
0b1100100110001111,4000,1.1805043944166298e-18,7.416369141966837e-19,1.0144993824509286e-18,6.302562970477399e-19
0b1100100110001111,2000,7.394680556560998e-19,4.851125909142271e-19,6.155394240663245e-19,3.9027684069622155e-19
0b1100100110001111,1000,5.700314070876302e-19,4.180614403841579e-19,4.635357910028233e-19,3.2962873423130465e-19
0b1100100110001111,500,5.026777961841285e-19,4.003692880557165e-19,4.035303565621409e-19,3.1536517021904923e-19
0b1100100110001111,400,4.88631246959056e-19,3.9762512669387375e-19,3.908458375345483e-19,3.133147588995183e-19
0b1100100110001111,320,4.769015050048441e-19,3.9554817992312197e-19,3.801889838112496e-19,3.1179081752380603e-19
0b1100100110001111,200,4.579140597839874e-19,3.9252679603767343e-19,3.6278694660028008e-19,3.0959620765168246e-19
0b1100100110001111,100,4.40354981574086e-19,3.9033093808817734e-19,3.4657120463999323e-19,3.081069452882322e-19
0b1001100000100001,8000,2.1570663698628684e-18,1.3592613409844442e-18,1.8735413672351e-18,1.2180672343603502e-18
0b1001100000100001,4000,1.1193769163379958e-18,6.913625653667063e-19,9.535452171876704e-19,5.918903713061151e-19
0b1001100000100001,2000,6.858963828855313e-19,4.397508912534706e-19,5.623021560861414e-19,3.5671984288215077e-19
0b1001100000100001,1000,5.075413727761921e-19,3.6980824274474477e-19,4.0140849346279474e-19,2.933285544455014e-19
0b1001100000100001,500,4.288225338243288e-19,3.4818741901843957e-19,3.3002842394255883e-19,2.752686734283714e-19
0b1001100000100001,400,4.125964401986132e-19,3.446416378912666e-19,3.151641614721054e-19,2.724368761181052e-19
0b1001100000100001,320,3.992340917823755e-19,3.4195321361782778e-19,3.028815145085463e-19,2.703318195830569e-19
0b1001100000100001,200,3.7757709433073724e-19,3.376836858585443e-19,2.8281290923338894e-19,2.669293348153749e-19
0b1001100000100001,100,3.572470003002364e-19,3.341809500894723e-19,2.6381393826616467e-19,2.641636325394331e-19
0b1000110000100001,8000,2.144610329109043e-18,1.373514294950691e-18,1.8610818622399698e-18,1.2323227555761263e-18
0b1000110000100001,4000,1.1026556287904819e-18,7.074607769649649e-19,9.368305886112092e-19,6.079963716166329e-19
0b1000110000100001,2000,6.688036288913497e-19,4.563247637535517e-19,5.452085196456927e-19,3.733048096656702e-19
0b1000110000100001,1000,4.928138064148623e-19,3.845069572321213e-19,3.8666764830014886e-19,3.080281190492547e-19
0b1000110000100001,500,4.1627506950821924e-19,3.6124897996434082e-19,3.174722617255822e-19,2.8832446388810044e-19
0b1000110000100001,400,4.0044685929093597e-19,3.5737615779403066e-19,3.0301822933780007e-19,2.8516505228745443e-19
0b1000110000100001,320,3.8738887357785283e-19,3.54422379102768e-19,2.910360294226011e-19,2.8279114740728047e-19
0b1000110000100001,200,3.662313076322442e-19,3.497347256361413e-19,2.7146033102452012e-19,2.789757380601733e-19
0b1000110000100001,100,3.463642454755374e-19,3.4585919826078104e-19,2.529272477917239e-19,2.758477185626167e-19
0b0101111100001110,8000,2.177784054493952e-18,1.4035930172084715e-18,1.8940821219760607e-18,1.2583660444492357e-18
0b0101111100001110,4000,1.1267698110990751e-18,7.370472779460153e-19,9.608945814560428e-19,6.336086016797458e-19
0b0101111100001110,2000,6.902171162701362e-19,4.8178569784514e-19,5.665302400951386e-19,3.948068822785823e-19
0b0101111100001110,1000,5.208911431678062e-19,4.0674704497333407e-19,4.1462941715660246e-19,3.2627301883588277e-19
0b0101111100001110,500,4.526265761445691e-19,3.8252854294420292e-19,3.5371261157636694e-19,3.05560403047305e-19
0b0101111100001110,400,4.384020607885371e-19,3.7842759453706696e-19,3.408602596439156e-19,3.02172446390347e-19
