0b0000001010001001,8000,2.4884006965504195e-18,2.1228114562448605e-18
0b0000001010001001,4000,1.4161379255833242e-18,1.2343020286963165e-18
0b0000001010001001,2000,9.353406539815534e-19,8.155086693520386e-19
0b0000001010001001,1000,7.0881256491979e-19,6.133013940812543e-19
0b0000001010001001,500,5.873160278179783e-19,5.02732656245038e-19
0b0000001010001001,400,5.615266404617862e-19,4.790236382712314e-19
0b0000001010001001,320,5.402680676701594e-19,4.593981839774803e-19
0b0000001010001001,200,5.063078455424105e-19,4.2789511228366334e-19
0b0000001010001001,100,4.74242312564117e-19,3.9788500146517183e-19
0b1110001011111110,8000,2.5211350956720432e-18,2.1557149537091286e-18
0b1110001011111110,4000,1.4407802258654586e-18,1.2590760872357214e-18
0b1110001011111110,2000,9.635107350285514e-19,8.437665312107859e-19
0b1110001011111110,1000,7.401429367504971e-19,6.447652733436225e-19
0b1110001011111110,500,6.209859232041115e-19,5.365317937223248e-19
0b1110001011111110,400,5.956393004190358e-19,5.132698437567667e-19
0b1110001011111110,320,5.747585432990576e-19,4.940292659880011e-19
0b1110001011111110,200,5.4171536191331535e-19,4.634440673818789e-19
0b1110001011111110,100,5.105407369943185e-19,4.343184020036171e-19
0b0110111100001100,8000,2.5283799572586873e-18,2.1737216095843035e-18
0b0110111100001100,4000,1.4462966353106883e-18,1.2744095270082267e-18
0b0110111100001100,2000,9.676310254287742e-19,8.576358737156875e-19
0b0110111100001100,1000,7.436678360294696e-19,6.579219446041138e-19
0b0110111100001100,500,6.261075574026184e-19,5.512276330074584e-19
0b0110111100001100,400,6.011521990075643e-19,5.283485254913011e-19
0b0110111100001100,320,5.806330399653958e-19,5.094621190203303e-19
0b0110111100001100,200,5.483906903743504e-19,4.796534336114669e-19
0b0110111100001100,100,5.174562663247627e-19,4.507582984296955e-19
0b1111100000100000,8000,2.518368868199456e-18,2.1533730639612687e-18
0b1111100000100000,4000,1.4397216774556984e-18,1.2584029172365176e-18
0b1111100000100000,2000,9.59457570629268e-19,8.400753647702211e-19
0b1111100000100000,1000,7.351663304965683e-19,6.401140897628797e-19
0b1111100000100000,500,6.170604927974213e-19,5.329371171272173e-19
0b1111100000100000,400,5.919864841640842e-19,5.099398938257408e-19
0b1111100000100000,320,5.713226279320792e-19,4.909200651745644e-19
0b1111100000100000,200,5.386678064361393e-19,4.6071166450278365e-19
0b1111100000100000,100,5.074466657668345e-19,4.315449812482043e-19
0b0101100110001010,8000,2.5183649176664415e-18,2.153265348150841e-18
0b0101100110001010,4000,1.4376721831476291e-18,1.2562925486731156e-18
0b0101100110001010,2000,9.60391194487871e-19,8.409664928956473e-19
0b0101100110001010,1000,7.347021247086375e-19,6.396015208866009e-19
0b0101100110001010,500,6.146764908871674e-19,5.304926814051031e-19
0b0101100110001010,400,5.892100255151712e-19,5.071097124761859e-19
0b0101100110001010,320,5.682882300943302e-19,4.878284371866966e-19
0b0101100110001010,200,5.34839192617564e-19,4.568327444275335e-19
0b0101100110001010,100,5.034807985989292e-19,4.275255335160976e-19
0b0110101110111110,8000,2.5072621512511542e-18,2.1524952552872458e-18
0b0110101110111110,4000,1.4288622700449368e-18,1.2569194943231637e-18
0b0110101110111110,2000,9.51133306709999e-19,8.410745639428313e-19
0b0110101110111110,1000,7.253373802408254e-19,6.395403039893401e-19
0b0110101110111110,500,6.04920788428062e-19,5.299949769356726e-19
0b0110101110111110,400,5.793810411287913e-19,5.065315523063059e-19
0b0110101110111110,320,5.583949496990795e-19,4.871732922253169e-19
0b0110101110111110,200,5.250844396900761e-19,4.562960393668083e-19
0b0110101110111110,100,4.935305431866396e-19,4.267839313786323e-19
0b1010011101100010,8000,2.520590760264353e-18,2.155463411157079e-18
0b1010011101100010,4000,1.4412246626727102e-18,1.259827912369226e-18
0b1010011101100010,2000,9.64414597180338e-19,8.449839467653985e-19
0b1010011101100010,1000,7.387556732410801e-19,6.436468535565178e-19
0b1010011101100010,500,6.17751161994688e-19,5.335682895094181e-19
0b1010011101100010,400,5.921726554823818e-19,5.100713949274932e-19
0b1010011101100010,320,5.711900045917408e-19,4.907345468542045e-19
0b1010011101100010,200,5.382821867640619e-19,4.602665607955621e-19
0b1010011101100010,100,5.073136777827655e-19,4.313528821506256e-19
0b1011100110101111,8000,2.5078355107958387e-18,2.142311654596337e-18
0b1011100110101111,4000,1.4301096757242503e-18,1.2483565975119887e-18
0b1011100110101111,2000,9.517807207866189e-19,8.320222727103443e-19
0b1011100110101111,1000,7.25811416281222e-19,6.303908058949856e-19
0b1011100110101111,500,6.053671897625269e-19,5.208644107000572e-19
0b1011100110101111,400,5.798106151348834e-19,4.973981514819773e-19
0b1011100110101111,320,5.588050100681743e-19,4.780378755094919e-19
0b1011100110101111,200,5.254650996232365e-19,4.471433643941351e-19
0b1011100110101111,100,4.939244276865982e-19,4.176607988533958e-19
0b0000111100011111,8000,2.517996408953315e-18,2.1633825339719933e-18
0b0000111100011111,4000,1.4386379330390467e-18,1.2667757995654193e-18
0b0000111100011111,2000,9.590113835390215e-19,8.490144750410958e-19
0b0000111100011111,1000,7.347336155737804e-19,6.48991283989145e-19
0b0000111100011111,500,6.166830424035696e-19,5.418173619670243e-19
0b0000111100011111,400,5.916448459024001e-19,5.188396895737303e-19
0b0000111100011111,320,5.709772223763113e-19,4.998180655720373e-19
0b0000111100011111,200,5.38621318072911e-19,4.698839991959157e-19
0b0000111100011111,100,5.074598479764986e-19,4.407674882514342e-19
0b0101010010000001,8000,2.4967735836700507e-18,2.142012224955653e-18
0b0101010010000001,4000,1.4210946011597034e-18,1.249154166342674e-18
0b0101010010000001,2000,9.42533318776421e-19,8.3248531357971855e-19
0b0101010010000001,1000,7.163598460370566e-19,6.305618479443851e-19
0b0101010010000001,500,5.954124641668105e-19,5.204880728381142e-19
0b0101010010000001,400,5.697486516892003e-19,4.968951197713155e-19
0b0101010010000001,320,5.485942095578238e-19,4.773724034202171e-19
0b0101010010000001,200,5.148712471687692e-19,4.460814739605935e-19
0b0101010010000001,100,4.831007512389841e-19,4.1635040411081077e-19
0b0101000101010000,8000,2.497894734498932e-18,2.1327443982395263e-18
0b0101000101010000,4000,1.4242760661794216e-18,1.242819636128061e-18
0b0101000101010000,2000,9.460782931336637e-19,8.265666677238582e-19
0b0101000101010000,1000,7.198802170257322e-19,6.246802313071014e-19
0b0101000101010000,500,5.979387250959807e-19,5.136592482710367e-19
0b0101000101010000,400,5.721525043317907e-19,4.899589228909799e-19
