0b000,8000,2.9760063319299086e-19,2.199071411500712e-19
0b000,4000,1.9287031591528773e-19,1.478062380785599e-19
0b000,2000,1.3297584900800578e-19,9.946195634020799e-20
0b000,1000,1.0399950776276026e-19,7.52402091532248e-20
0b000,500,8.803569046553981e-20,6.143002626746598e-20
0b000,400,8.442915652824096e-20,5.820548205364522e-20
0b000,320,8.145302804414204e-20,5.557413056112605e-20
0b000,200,7.660419021678512e-20,5.1215158566753907e-20
0b000,100,7.197801504273778e-20,4.700503326141012e-20
0b001,8000,3.02522064245315e-19,2.2510702481631007e-19
0b001,4000,1.9952608639872283e-19,1.5420284715673186e-19
0b001,2000,1.3975247160560314e-19,1.0610503667422917e-19
0b001,1000,1.091501544978157e-19,8.031593984462152e-20
0b001,500,9.318238353908517e-20,6.65140417218483e-20
0b001,400,8.955780051197029e-20,6.3264173939733e-20
0b001,320,8.627628458938818e-20,6.032790403386473e-20
0b001,200,8.169939268862024e-20,5.623874889253923e-20
0b001,100,7.71214641298289e-20,5.207825208519241e-20
0b010,8000,2.885473291721131e-19,2.2466125389659384e-19
0b010,4000,1.9509995800353118e-19,1.6193788887480052e-19
0b010,2000,1.363092234062066e-19,1.1473395938491656e-19
0b010,1000,1.0704987938438228e-19,9.032766532065452e-20
0b010,500,9.103687110594223e-20,7.648393152572096e-20
0b010,400,8.73365027483978e-20,7.315947203594022e-20
0b010,320,8.43697686525813e-20,7.054082109097575e-20
0b010,200,7.956321001922921e-20,6.622083873339066e-20
0b010,100,7.49735280579589e-20,6.204759204026129e-20
0b011,8000,3.089287331079073e-19,2.3303114007765473e-19
0b011,4000,2.074363265813486e-19,1.626366257009352e-19
0b011,2000,1.4966360570387979e-19,1.1670902600463718e-19
0b011,1000,1.2085022663613342e-19,9.278324860396609e-20
0b011,500,1.0606414299477509e-19,8.019164310339388e-20
0b011,400,1.0278102751464876e-19,7.728500123503068e-20
0b011,320,1.0016985286318957e-19,7.502807463918032e-20
0b011,200,9.592153236505137e-20,7.127361274227806e-20
0b011,100,9.184009048225031e-20,6.762034745262889e-20
0b100,8000,3.089287339179042e-19,2.330311139754447e-19
0b100,4000,2.0743631878750098e-19,1.6263662595478185e-19
0b100,2000,1.4966360813041437e-19,1.1670902862747888e-19
0b100,1000,1.20850224720088e-19,9.278327160306359e-20
0b100,500,1.0606414775167285e-19,8.01916318941007e-20
0b100,400,1.0278104997872552e-19,7.728503292188067e-20
0b100,320,1.0017001748478826e-19,7.502811432956604e-20
0b100,200,9.592154861631084e-20,7.12735810300923e-20
0b100,100,9.1840108147384e-20,6.76203378659547e-20
0b101,8000,2.8854732925311315e-19,2.2466125389659384e-19
0b101,4000,1.9509995881270176e-19,1.6193794256160305e-19
0b101,2000,1.3630924023266652e-19,1.147339812674151e-19
0b101,1000,1.0704988135831695e-19,9.032766265616915e-20
0b101,500,9.103687242922183e-20,7.648389386553836e-20
0b101,400,8.733645454412139e-20,7.315949646826949e-20
0b101,320,8.436975330911749e-20,7.054085360502864e-20
0b101,200,7.956340304942392e-20,6.622087842707168e-20
0b101,100,7.497357710426058e-20,6.204760123342156e-20
0b110,8000,3.02522064245315e-19,2.2510703258048204e-19
0b110,4000,1.9952615766926847e-19,1.5420285620222584e-19
0b110,2000,1.3975246224077199e-19,1.0610503767338178e-19
0b110,1000,1.0915013812343626e-19,8.031590432985128e-20
0b110,500,9.318234623334047e-20,6.651403263335148e-20
0b110,400,8.955778622562663e-20,6.326418038804373e-20
0b110,320,8.627623524785554e-20,6.032791193045607e-20
0b110,200,8.169940819668222e-20,5.62387759612199e-20
0b110,100,7.712149732429387e-20,5.2078213857442176e-20
0b111,8000,2.976006827519569e-19,2.1990714123102076e-19
0b111,4000,1.928703175431421e-19,1.4780624668543684e-19
0b111,2000,1.3297584370712835e-19,9.946196133729065e-20
0b111,1000,1.039995205839449e-19,7.524022706606096e-20
0b111,500,8.803567732676726e-20,6.143004373414797e-20
0b111,400,8.442913551365441e-20,5.820549372275667e-20
0b111,320,8.145302431766598e-20,5.557411326218841e-20
0b111,200,7.660414142479659e-20,5.121519112275186e-20
0b111,100,7.197821413712052e-20,4.7005047327063737e-20
