8000,1.1151009345908767e-20,2.765965131204189e-20,9.37870060313775e-22
5000,-9.38746727339326e-22,2.151807744041323e-20,-1.4393691188344534e-22
4000,-4.267719477484226e-21,1.946932556492729e-20,-4.799114093558837e-22
2000,-9.798465929889027e-21,1.6279235825499773e-20,-9.001368152701282e-22
1000,-1.2067459593684272e-20,1.5151852514707645e-20,-1.0539111713928194e-21
800,-1.249095479358294e-20,1.495447779442335e-20,-1.0832990051699072e-21
640,-1.2834892969326433e-20,1.480470122598307e-20,-1.109195141793782e-21
500,-1.3111743639369461e-20,1.4669419631335342e-20,-1.1271610284622061e-21
400,-1.3315759816984914e-20,1.4576198723632198e-20,-1.1417473564938548e-21
320,-1.3478659644929767e-20,1.45019540955662e-20,-1.153409372108817e-21
200,-1.3724731217546438e-20,1.4390895321281215e-20,-1.17088741937512e-21
160,-1.3808219213639876e-20,1.4353940755633622e-20,-1.176712217899542e-21
125,-1.3882518587934855e-20,1.432163119237887e-20,-1.1818090463414919e-21
100,-1.3936671179605083e-20,1.4298571097390004e-20,-1.1854499831057117e-21

