0b0,8000,2.5368162110689466e-20,2.1326542029934412e-21
0b0,4000,9.435720886555362e-21,6.9285894896600095e-22
0b0,2000,4.83092430792573e-21,1.0508951533946074e-21
0b0,1000,1.935230885606014e-21,1.4078562545667685e-22
0b0,500,9.66073092282794e-22,6.947639063774597e-23
0b0,400,7.784003437603529e-22,5.52518179558402e-23
0b0,320,6.292823504386054e-22,4.392106448994555e-23
0b0,200,4.0611874764187794e-22,2.689962236176503e-23
0b0,100,2.193965110262281e-22,1.46474941972879e-23
0b1,8000,2.5368162109069515e-20,2.1326542029934412e-21
0b1,4000,9.435720889795348e-21,6.928589159015617e-22
0b1,2000,4.8309259998484635e-21,1.050894244878249e-21
0b1,1000,1.935228903222471e-21,1.4078517906330446e-22
0b1,500,9.660757190006578e-22,6.947757481964298e-23
0b1,400,7.784006104117456e-22,5.525285667014114e-23
0b1,320,6.292818556493913e-22,4.3919718155809244e-23
0b1,200,4.0612313567988284e-22,2.689959877088101e-23
0b1,100,2.193985008043688e-22,1.464608310614871e-23
