0b0,8000,2.1326542029934897e-21
0b0,4000,6.928596965358891e-22
0b0,2000,2.967945002018773e-22
0b0,1000,1.4078674209653766e-22
0b0,500,6.947656705348543e-23
0b0,400,5.525106516443776e-23
0b0,320,4.3927762669381057e-23
0b0,200,2.689722185809201e-23
0b0,100,1.273710603435611e-23
0b1,8000,2.1326542029934897e-21
0b1,4000,6.928589066676495e-22
0b1,2000,2.967935916855189e-22
0b1,1000,1.4078371520111313e-22
0b1,500,6.947769791226552e-23
0b1,400,5.525115890286353e-23
0b1,320,4.392673784438758e-23
0b1,200,2.6897558371364703e-23
0b1,100,1.2736164937733025e-23
